"","Year","Month","Canton","Cases"
"6591",2013,7,"Santa Ana",16
"6592",2013,8,"Santa Ana",37
"6593",2013,9,"Santa Ana",54
"6594",2013,10,"Santa Ana",20
"6595",2013,11,"Santa Ana",16
"6596",2013,12,"Santa Ana",6
"6597",2014,1,"Santa Ana",3
"6598",2014,2,"Santa Ana",2
"6599",2014,3,"Santa Ana",6
"6600",2014,4,"Santa Ana",0
"6601",2014,5,"Santa Ana",0
"6602",2014,6,"Santa Ana",0
"6603",2014,7,"Santa Ana",0
"6604",2014,8,"Santa Ana",1
"6605",2014,9,"Santa Ana",7
"6606",2014,10,"Santa Ana",9
"6607",2014,11,"Santa Ana",1
"6608",2014,12,"Santa Ana",3
"6609",2015,1,"Santa Ana",3
"6610",2015,2,"Santa Ana",0
"6611",2015,3,"Santa Ana",1
"6612",2015,4,"Santa Ana",1
"6613",2015,5,"Santa Ana",0
"6614",2015,6,"Santa Ana",2
"6615",2015,7,"Santa Ana",2
"6616",2015,8,"Santa Ana",2
"6617",2015,9,"Santa Ana",3
"6618",2015,10,"Santa Ana",7
"6619",2015,11,"Santa Ana",7
"6620",2015,12,"Santa Ana",8
"6621",2016,1,"Santa Ana",16
"6622",2016,2,"Santa Ana",1
"6623",2016,3,"Santa Ana",3
"6624",2016,4,"Santa Ana",4
"6625",2016,5,"Santa Ana",1
"6626",2016,6,"Santa Ana",4
"6627",2016,7,"Santa Ana",21
"6628",2016,8,"Santa Ana",26
"6629",2016,9,"Santa Ana",14
"6630",2016,10,"Santa Ana",20
"6631",2016,11,"Santa Ana",10
"6632",2016,12,"Santa Ana",13
"6633",2017,1,"Santa Ana",6
"6634",2017,2,"Santa Ana",5
"6635",2017,3,"Santa Ana",1
"6636",2017,4,"Santa Ana",2
"6637",2017,5,"Santa Ana",1
"6638",2017,6,"Santa Ana",1
"6639",2017,7,"Santa Ana",5
"6640",2017,8,"Santa Ana",1
"6641",2017,9,"Santa Ana",1
"6642",2017,10,"Santa Ana",2
"6643",2017,11,"Santa Ana",1
"6644",2017,12,"Santa Ana",0
"6645",2018,1,"Santa Ana",0
"6646",2018,2,"Santa Ana",0
"6647",2018,3,"Santa Ana",0
"6648",2018,4,"Santa Ana",0
"6649",2018,5,"Santa Ana",0
"6650",2018,6,"Santa Ana",0
"6651",2018,7,"Santa Ana",0
"6652",2018,8,"Santa Ana",0
"6653",2018,9,"Santa Ana",0
"6654",2018,10,"Santa Ana",0
"6655",2018,11,"Santa Ana",0
"6656",2018,12,"Santa Ana",0
"6657",2019,1,"Santa Ana",0
"6658",2019,2,"Santa Ana",0
"6659",2019,3,"Santa Ana",0
"6660",2019,4,"Santa Ana",1
"6661",2019,5,"Santa Ana",2
"6662",2019,6,"Santa Ana",5
"6663",2019,7,"Santa Ana",0
"6664",2019,8,"Santa Ana",3
"6665",2019,9,"Santa Ana",3
"6666",2019,10,"Santa Ana",17
"6667",2019,11,"Santa Ana",8
"6668",2019,12,"Santa Ana",5
"6669",2020,1,"Santa Ana",5
"6670",2020,2,"Santa Ana",3
"6671",2020,3,"Santa Ana",3
"6672",2020,4,"Santa Ana",0
"6673",2020,5,"Santa Ana",2
"6674",2020,6,"Santa Ana",4
"6675",2020,7,"Santa Ana",14
"6676",2020,8,"Santa Ana",23
"6677",2020,9,"Santa Ana",9
"6678",2020,10,"Santa Ana",13
"6679",2020,11,"Santa Ana",9
"6680",2020,12,"Santa Ana",4
"6681",2021,1,"Santa Ana",2
"6682",2021,2,"Santa Ana",0
"6683",2021,3,"Santa Ana",0
"6684",2021,4,"Santa Ana",0
"6685",2021,5,"Santa Ana",0
"6686",2000,1,"SantaCruz",2
"6687",2000,2,"SantaCruz",1
"6688",2000,3,"SantaCruz",1
"6689",2000,4,"SantaCruz",2
"6690",2000,5,"SantaCruz",2
"6691",2000,6,"SantaCruz",9
"6692",2000,7,"SantaCruz",3
"6693",2000,8,"SantaCruz",5
"6694",2000,9,"SantaCruz",6
"6695",2000,10,"SantaCruz",4
"6696",2000,11,"SantaCruz",8
"6697",2000,12,"SantaCruz",10
"6698",2001,1,"SantaCruz",8
"6699",2001,2,"SantaCruz",18
"6700",2001,3,"SantaCruz",2
"6701",2001,4,"SantaCruz",3
"6702",2001,5,"SantaCruz",10
"6703",2001,6,"SantaCruz",15
"6704",2001,7,"SantaCruz",35
"6705",2001,8,"SantaCruz",457
"6706",2001,9,"SantaCruz",804
"6707",2001,10,"SantaCruz",397
"6708",2001,11,"SantaCruz",250
"6709",2001,12,"SantaCruz",116
"6710",2002,1,"SantaCruz",63
"6711",2002,2,"SantaCruz",45
"6712",2002,3,"SantaCruz",20
"6713",2002,4,"SantaCruz",3
"6714",2002,5,"SantaCruz",11
"6715",2002,6,"SantaCruz",4
"6716",2002,7,"SantaCruz",9
"6717",2002,8,"SantaCruz",24
"6718",2002,9,"SantaCruz",22
"6719",2002,10,"SantaCruz",34
"6720",2002,11,"SantaCruz",18
"6721",2002,12,"SantaCruz",41
"6722",2003,1,"SantaCruz",63
"6723",2003,2,"SantaCruz",38
"6724",2003,3,"SantaCruz",132
"6725",2003,4,"SantaCruz",140
"6726",2003,5,"SantaCruz",182
"6727",2003,6,"SantaCruz",321
"6728",2003,7,"SantaCruz",424
"6729",2003,8,"SantaCruz",229
"6730",2003,9,"SantaCruz",159
"6731",2003,10,"SantaCruz",125
"6732",2003,11,"SantaCruz",91
"6733",2003,12,"SantaCruz",11
"6734",2004,1,"SantaCruz",1
"6735",2004,2,"SantaCruz",4
"6736",2004,3,"SantaCruz",5
"6737",2004,4,"SantaCruz",3
"6738",2004,5,"SantaCruz",2
"6739",2004,6,"SantaCruz",4
"6740",2004,7,"SantaCruz",2
"6741",2004,8,"SantaCruz",4
"6742",2004,9,"SantaCruz",7
"6743",2004,10,"SantaCruz",10
"6744",2004,11,"SantaCruz",9
"6745",2004,12,"SantaCruz",2
"6746",2005,1,"SantaCruz",3
"6747",2005,2,"SantaCruz",0
"6748",2005,3,"SantaCruz",1
"6749",2005,4,"SantaCruz",2
"6750",2005,5,"SantaCruz",2
"6751",2005,6,"SantaCruz",10
"6752",2005,7,"SantaCruz",216
"6753",2005,8,"SantaCruz",191
"6754",2005,9,"SantaCruz",203
"6755",2005,10,"SantaCruz",175
"6756",2005,11,"SantaCruz",127
"6757",2005,12,"SantaCruz",53
"6758",2006,1,"SantaCruz",11
"6759",2006,2,"SantaCruz",18
"6760",2006,3,"SantaCruz",11
"6761",2006,4,"SantaCruz",18
"6762",2006,5,"SantaCruz",5
"6763",2006,6,"SantaCruz",18
"6764",2006,7,"SantaCruz",112
"6765",2006,8,"SantaCruz",241
"6766",2006,9,"SantaCruz",394
"6767",2006,10,"SantaCruz",558
"6768",2006,11,"SantaCruz",648
"6769",2006,12,"SantaCruz",589
"6770",2007,1,"SantaCruz",11
"6771",2007,2,"SantaCruz",18
"6772",2007,3,"SantaCruz",21
"6773",2007,4,"SantaCruz",8
"6774",2007,5,"SantaCruz",5
"6775",2007,6,"SantaCruz",38
"6776",2007,7,"SantaCruz",92
"6777",2007,8,"SantaCruz",241
"6778",2007,9,"SantaCruz",394
"6779",2007,10,"SantaCruz",558
"6780",2007,11,"SantaCruz",648
"6781",2007,12,"SantaCruz",589
"6782",2008,1,"SantaCruz",25
"6783",2008,2,"SantaCruz",10
"6784",2008,3,"SantaCruz",13
"6785",2008,4,"SantaCruz",7
"6786",2008,5,"SantaCruz",8
"6787",2008,6,"SantaCruz",31
