"ew_start","ew","sum_of_cases","cases_est_id","cases_est_id_min","cases_est_id_max","mintemp_mean","meantemp_mean","maxtemp_mean","minumid_mean","meanumid_mean","maxumid_mean","pop","inc_level","receptive","transmission","dengue","sintomas.dengue","uf","lwr","upr","prediction"
2020-02-09,202007,67,67,67,67,NA,25.5921658986175,27.0322580645161,79.3707039262673,85.9916094101383,NA,3268037,0.265625817577953,NA,0,6,0,"PI",11.7777777777778,262.615384615385,99.8209803773516
2020-02-16,202008,51,51,51,51,NA,25.6285780967742,27.8191244239631,72.6217918525345,84.5135291474654,NA,3268037,0.265625817577953,NA,0,9,3,"PI",82.7777777777778,419.98224852071,236.828028370635
2020-02-23,202009,74,74,74,74,NA,26.4683440204081,29.3775510204082,68.1794790408163,81.3557738265306,NA,3268037,0.265625817577953,NA,0,9,4,"PI",90.8888888888889,436.668639053254,260.600750061799
2020-03-01,202010,94,94,94,94,NA,26.0689430046083,28.4493087557604,75.273722672811,86.4282140184332,NA,3268037,0.280064148600521,NA,0.265625817577953,7,0,"PI",27.3333333333333,298.384615384615,121.717274683948
2020-03-08,202011,122,122,122,122,NA,25.999179483871,28.4792626728111,75.8684463732719,86.2937363041475,NA,3268037,0.280064148600521,NA,0.265625817577953,11,0,"PI",89.5555555555556,441.461538461538,209.302451910335
2020-03-15,202012,83,83,83,83,NA,25.9493962764977,29.1658986175115,70.6941256774194,86.3242345714286,NA,3268037,0.269197074574125,NA,0.00357125699617232,14,0,"PI",136.222222222222,548.769230769231,274.991334830126
2020-03-22,202013,37,37,37,37,NA,27.2511521843318,31.4239631336405,61.1404547050691,80.4623567695852,NA,3268037,0,NA,0,14,4,"PI",168.666666666667,615.514792899408,370.082221594783
2020-03-29,202014,49,49,49,49,NA,28.1762788110599,32.2903225806452,58.0428247419355,76.7319994470046,NA,3268037,0.00323252154121878,NA,0.00323252154121878,9,3,"PI",82.7777777777778,419.98224852071,236.828028370635
2020-04-05,202015,74,74,74,74,NA,29.4159335115207,33.3917050691244,53.7767964700461,72.354140235023,NA,3268037,0.0122822966814635,NA,0.0022570123900066,10,0,"PI",74,405.692307692308,187.406157603739
2020-04-12,202016,128,128,128,128,NA,27.8795247281106,31.2165898617512,62.1363591382488,77.0638485161291,NA,3268037,0.33112782994807,NA,0.319721594339354,6,0,"PI",11.7777777777778,262.615384615385,99.8209803773516
2020-04-19,202017,136,136,136,136,NA,27.3580627004608,31.1612903225807,59.2474546129033,78.2021876682028,NA,3268037,0.295820702152393,NA,0.272252119544546,8,0,"PI",42.8888888888889,334.153846153846,143.613568990545
2020-04-26,202018,139,139,139,139,NA,27.9320900368664,31.7235023041474,55.1332313087558,73.3731440552995,NA,3268037,0.0266686087091425,NA,0.00150487892272945,9,3,"PI",82.7777777777778,419.98224852071,236.828028370635
2020-05-03,202019,135,135,135,135,NA,28.9641108847926,32.5299539170507,51.0923193778802,69.851995843318,NA,3268037,0.296811205013897,NA,0.00150487892272945,11,3,"PI",113.888888888889,491.520710059172,280.620616983828
2020-05-10,202020,191,191,191,191,NA,28.2412350967742,32.3225806451613,52.8714297557604,70.1970140506913,NA,3268037,0.363005070016037,NA,0.291585437986167,8,4,"PI",75.3333333333333,400.899408284024,238.704455755202
2020-05-17,202021,174,174,174,174,NA,28.146277797235,32.2626728110599,53.6177979585253,72.7903912442396,NA,3268037,0.36743433443379,NA,0.0259703302012799,8,0,"PI",42.8888888888889,334.153846153846,143.613568990545
2020-05-24,202022,141,141,141,141,NA,27.7739491059908,31.7188940092166,54.3582768894009,74.352220562212,NA,3268037,0.309163268347329,NA,0.0206793864328953,11,3,"PI",113.888888888889,491.520710059172,280.620616983828
2020-05-31,202023,126,126,126,126,NA,27.965769437788,31.8064516129032,52.6399418341014,71.5799894331797,NA,3268037,0.300829825366114,NA,0,10,4,"PI",106.444444444444,472.437869822485,282.497044368396
2020-06-07,202024,104,104,104,104,NA,27.5926696682028,31.8064516129032,50.0132516497696,70.2375561474654,NA,3268037,0.0301150201175813,NA,0,9,0,"PI",58.4444444444444,369.923076923077,165.509863297142
2020-06-14,202025,90,90,90,90,NA,27.0729368801843,30.9032258064516,48.5730978479263,66.6611973917051,NA,3268037,0.0670925696373695,NA,0,7,5,"PI",67.8888888888889,381.816568047337,240.58088313977
2020-06-21,202026,84,84,84,84,NA,26.8600207880184,30.8801843317972,47.842066202765,66.6446393548387,NA,3268037,0.0145515488349734,NA,0,9,0,"PI",58.4444444444444,369.923076923077,165.509863297142
2020-06-28,202027,62,62,62,62,NA,27.5169147834102,32.4746543778802,41.2192131658986,64.5291723963134,NA,3268037,0,NA,0,6,0,"PI",11.7777777777778,262.615384615385,99.8209803773516
2020-07-05,202028,55,55,55,55,NA,26.9548679493088,31.1290322580645,47.2248121705069,66.1524459078341,NA,3268037,0,NA,0,5,0,"PI",0,226.846153846154,77.9246860707549
2020-07-12,202029,47,47,47,47,NA,27.7053561105991,32.0460829493088,40.211695046083,59.7475570506912,NA,3268037,0,NA,0,5,0,"PI",0,226.846153846154,77.9246860707549
2020-07-19,202030,36,36,36,36,NA,27.3423295852535,31.6129032258065,38.5694741290323,57.3682528110599,NA,3268037,0.0113477907379874,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
2020-07-26,202031,46,46,46,46,NA,27.1595520138249,31.9216589861751,35.8371336682028,55.1040086221198,NA,3268037,0,NA,0,4,0,"PI",0,191.076923076923,56.0283917641581
2020-08-02,202032,32,32,32,32,NA,27.1347657419355,31.4838709677419,38.1568992073733,54.3062045760369,NA,3268037,0,NA,0,3,0,"PI",0,155.307692307692,34.1320974575614
2020-08-09,202033,31,31,31,31,NA,27.7634949723502,32.852534562212,35.1425339170507,55.3261218801843,NA,3268037,0,NA,0,0,0,"PI",0,48,0
2020-08-16,202034,27,27,27,27,NA,28.8917914009217,34.1428571428571,32.4728386082949,53.9053084792627,NA,3268037,0,NA,0,0,0,"PI",0,48,0
