"ew_start","sum_of_cases","dengue","sintomas.dengue","tratamento.dengue","uf","lwr","upr","prediction"
2021-11-21,198,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2021-11-28,199,3,0,0,"SC",-1807.55844282034,1794.94797781772,-6.30523250131057
2021-12-05,240,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2021-12-12,225,2,0,0,"SC",-2041.50968405309,1560.99673658496,-240.256473734064
2021-12-19,138,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2021-12-26,117,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2022-01-02,301,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2022-01-09,289,5,1,1,"SC",-579.264759662412,3023.24166097564,1221.98845065662
2022-01-16,237,4,2,0,"SC",-1427.73741934199,2174.76900129607,373.515790977039
2022-01-23,205,3,1,0,"SC",-1734.62355169754,1867.88286894052,66.6296586214878
2022-01-30,222,2,1,0,"SC",-1968.57479293029,1633.93162770776,-167.321582611265
2022-02-06,410,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2022-02-13,632,4,1,0,"SC",-1500.67231046479,2101.83411017327,300.580899854241
2022-02-20,896,5,1,0,"SC",-1266.72106923203,2335.78535140602,534.532141086994
2022-02-27,2317,7,2,0,"SC",-725.883695643729,2876.62272499433,1075.3695146753
2022-03-06,4157,12,4,0,"SC",589.742292765633,4192.24871340369,2390.99550308466
2022-03-13,5407,20,6,0,"SC",2607.22200487326,6209.72842551131,4408.47521519228
2022-03-20,7941,23,8,0,"SC",3454.94551081711,7057.45193145517,5256.19872113614
2022-03-27,9092,30,9,1,"SC",5852.9954001388,9455.50182077686,7654.24861045783
2022-04-03,9912,35,12,1,"SC",7241.55627967097,10844.062700309,9042.80948998999
2022-04-10,10587,41,15,1,"SC",8864.06840043588,12466.5748210739,10665.3216107549
2022-04-17,11860,48,17,1,"SC",10647.5968713107,14250.1032919488,12448.8500816298
2022-04-24,10844,54,16,2,"SC",12665.8257371541,16268.3321577921,14467.0789474731
2022-05-01,11451,39,12,1,"SC",8177.36124460198,11779.86766524,9978.61445492101
2022-05-08,9972,44,16,1,"SC",9638.85701525694,13241.363435895,11440.110225576
2022-05-15,8605,37,12,1,"SC",7709.45876213647,11311.9651827745,9510.7119724555
2022-05-22,6663,36,13,0,"SC",6860.9861024569,10463.492523095,8662.23931277592
2022-05-29,4821,22,9,1,"SC",3981.38547027678,7583.89189091484,5782.63868059581
2022-06-05,3389,18,7,0,"SC",2212.25441353055,5814.7608341686,4013.50762384958
2022-06-12,2495,14,6,0,"SC",1203.51455747674,4806.02097811479,3004.76776779576
2022-06-19,2407,14,6,0,"SC",1203.51455747674,4806.02097811479,3004.76776779576
2022-06-26,1781,11,5,0,"SC",428.725942655678,4031.23236329374,2229.97915297471
2022-07-03,1551,10,4,0,"SC",121.839810300127,3724.34623093818,1923.09302061916
2022-07-10,1234,7,3,0,"SC",-652.948804520931,2949.55761611713,1148.3044057981
